Omega,29.01,1006.32,44.79,57.87,0.000000,0.000000,0.00,-3.5338,-1.3455,10.1897,-0.3299,0.5811,-0.7290,138,38
Omega,28.93,1006.33,43.57,57.79,0.000000,0.000000,0.00,-2.7102,-0.3017,9.8306,-0.1171,-0.2235,-0.3916,141,39
Omega,28.65,1006.33,42.19,57.78,0.000000,0.000000,0.00,-0.6177,-4.4819,11.6023,-0.2724,-0.2884,0.8248,59,40
Omega,28.42,1006.31,39.35,57.96,0.000000,0.000000,0.00,6.0334,-0.9816,10.2041,-3.7418,1.4814,-1.6432,110,41
Omega,28.26,1006.36,37.87,57.52,0.000000,0.000000,0.00,2.2170,3.6296,13.6613,2.7478,0.4661,-1.6825,95,42
Omega,28.13,1006.34,36.70,57.68,0.000000,0.000000,0.00,3.3088,4.2952,8.7436,0.1415,0.2916,0.2395,82,43
Omega,28.49,1006.32,43.56,57.89,0.000000,0.000000,0.00,3.6679,6.2920,3.4477,-0.2426,-1.0131,-0.5087,133,44
Omega,28.65,1006.31,50.35,57.94,0.000000,0.000000,0.00,4.3479,8.6622,5.1954,-0.6928,-0.7184,-0.2033,128,45
Omega,28.76,1006.34,55.06,57.67,0.000000,0.000000,0.00,3.6392,5.4013,9.8019,1.1526,1.5676,-0.5587,124,46
Omega,28.51,1006.33,49.24,57.78,0.000000,0.000000,0.00,0.9337,3.9935,7.9200,-1.9390,0.4023,0.8556,239,47
Omega,28.19,1006.34,41.92,57.66,0.000000,0.000000,0.00,-0.8380,0.1628,7.7045,0.1096,0.0968,0.5140,162,48
Omega,28.06,1006.32,39.10,57.82,0.000000,0.000000,0.00,-0.6560,1.9585,8.3127,0.0745,-0.2937,0.0553,141,49
Omega,27.98,1006.32,38.17,57.89,0.000000,0.000000,0.00,-0.0575,3.1843,10.4531,1.4303,-0.2373,1.5080,122,50
Omega,27.89,1006.31,37.81,57.90,0.000000,0.000000,0.00,-2.5043,3.1460,9.2033,0.1777,0.2352,0.3001,127,51
Omega,27.83,1006.35,36.96,57.64,0.000000,0.000000,0.00,-1.1157,2.4421,9.3422,0.2810,-0.5619,1.4537,154,52
Omega,27.75,1006.31,35.70,57.96,0.000000,0.000000,0.00,-2.0542,3.1268,8.1163,0.1117,-0.1511,0.6662,121,53
Omega,27.67,1006.28,35.33,58.17,0.000000,0.000000,0.00,-4.8985,4.2425,5.9807,-0.5896,1.6889,-0.2171,129,54
Omega,27.64,1006.31,36.59,57.94,0.000000,0.000000,0.00,-3.7158,0.1772,7.3789,0.4087,-0.2373,-1.7411,124,55
Omega,27.58,1006.29,36.89,58.08,0.000000,0.000000,0.00,-1.3120,1.1301,9.3087,0.1032,-0.3565,-0.3022,130,56
Omega,27.52,1006.29,36.35,58.08,0.000000,0.000000,0.00,-2.3990,5.3391,10.5201,0.0436,-0.0085,0.6492,135,57
Omega,27.46,1006.31,36.36,57.93,0.000000,0.000000,0.00,-2.0877,1.5706,10.5728,-1.0759,1.5399,0.8673,173,58
Omega,27.41,1006.33,36.21,57.77,0.000000,0.000000,0.00,-1.7957,3.9935,7.1347,2.0401,-2.0518,2.5158,108,59
Omega,27.37,1006.30,36.10,58.01,0.000000,0.000000,0.00,-2.9066,2.9688,10.9367,-1.8996,1.2271,-1.5091,120,60
Omega,27.34,1006.33,36.30,57.74,0.000000,0.000000,0.00,-1.3503,2.0303,9.5768,-0.6204,0.1735,-0.6673,121,61
Omega,27.30,1006.32,36.41,57.83,0.000000,0.000000,0.00,-2.5331,4.0989,8.2217,0.6896,0.0458,0.6673,134,62
Omega,27.28,1006.31,37.03,57.97,0.000000,0.000000,0.00,-3.5721,2.2218,10.2472,-0.1469,0.7609,-2.6042,116,63
Omega,27.22,1006.29,37.28,58.09,0.000000,0.000000,0.00,-1.8531,2.3655,10.7308,0.4938,-0.2543,-1.9060,231,64
Omega,27.20,1006.32,37.32,57.85,0.000000,0.000000,0.00,-3.7685,1.1253,12.1290,0.4949,0.0117,0.0564,115,65
Omega,27.15,1006.30,36.70,57.99,0.000000,0.000000,0.00,-0.1867,0.5507,10.2089,0.2597,-0.4321,1.0770,120,66
