Identificador, Temperatura, Presión, Altitud, Longitud(GPS), Latitud(GPS), Altitud(GPS), Acelerómetro X, acelerómetro Y, Acelerómetro Z, gyroscopio X, gyroscopio Y, gyroscopio Z, número de paquete
OMEGA,29.92,99121.19,185.12,0.00,0.00,0.00,-8620,-3520,11688,-77,11452,5605,1032
OMEGA,29.92,99117.95,185.40,0.00,0.00,0.00,-8476,-5812,13936,1905,-4944,-10891,1033
OMEGA,29.93,99122.33,185.03,0.00,0.00,0.00,4064,-4076,15544,-963,-1414,5251,1034
OMEGA,29.94,99122.21,185.03,0.00,0.00,0.00,-2188,-8528,23584,3085,21427,32767,1035
OMEGA,29.95,99119.09,185.30,0.00,0.00,0.00,-1600,5344,16092,-3877,3340,4973,1036
OMEGA,29.95,99122.58,185.00,0.00,0.00,0.00,804,8536,15148,-1219,1637,-88,1037
OMEGA,29.96,99118.53,185.34,0.00,0.00,0.00,-2272,4988,13544,-18949,-3351,-17755,1038
OMEGA,29.96,99122.50,185.01,0.00,0.00,0.00,-3576,-4896,15176,-3490,-9911,-11860,1039
OMEGA,29.97,99125.34,184.77,0.00,0.00,0.00,-6412,-7960,14224,-4741,6460,-1706,1040
OMEGA,29.98,99124.45,184.85,0.00,0.00,0.00,-5380,-7252,14180,116,1206,2217,1041
OMEGA,29.98,99120.73,185.16,0.00,0.00,0.00,-5600,-6720,16280,945,1787,2831,1042
OMEGA,29.98,99122.23,185.03,0.00,0.00,0.00,-4580,-6356,15408,683,-193,-1815,1043
OMEGA,29.99,99125.44,184.76,0.00,0.00,0.00,-4976,-7472,16740,34,-4493,-1985,1044
OMEGA,30.00,99123.42,184.93,0.00,0.00,0.00,-2280,-5544,15928,-2120,-3470,3805,1045
OMEGA,30.00,99122.17,185.04,0.00,0.00,0.00,-1068,-7552,16208,1508,5314,-3086,1046
OMEGA,30.01,99120.31,185.19,0.00,0.00,0.00,-3420,-6524,15804,-812,-695,868,1047
OMEGA,30.01,99120.01,185.22,0.00,0.00,0.00,-4544,-7888,16028,-2012,681,2270,1048
OMEGA,30.02,99121.33,185.18,0.00,0.00,0.00,-3268,-7524,15368,1345,1065,-1028,1049
OMEGA,30.02,99123.59,184.92,0.00,0.00,0.00,-3460,-7664,15992,-1205,1915,-179,1050
OMEGA,30.03,99120.84,185.15,0.00,0.00,0.00,-4236,-8292,15772,-2054,-751,-30,1051
OMEGA,30.03,99122.55,185.01,0.00,0.00,0.00,-4128,-8068,15068,-392,343,1027,1052
OMEGA,30.04,99121.97,185.05,0.00,0.00,0.00,-3936,-7500,15008,-414,3298,-2660,1053
OMEGA,30.04,99121.78,185.01,0.00,0.00,0.00,-4500,-7680,14448,-842,-1832,1350,1054
OMEGA,30.05,99121.53,185.09,0.00,0.00,0.00,-1732,-8872,17180,1553,-1630,-539,1055
OMEGA,30.05,99119.14,185.29,0.00,0.00,0.00,-4532,-10012,13764,-752,2447,-1818,1056
OMEGA,30.06,99121.83,185.07,0.00,0.00,0.00,-3088,-9920,12740,-1188,-1575,969,1057
OMEGA,30.06,99121.52,185.09,0.00,0.00,0.00,-2116,-11308,12192,-1414,739,-574,1058
OMEGA,30.06,99122.54,185.01,0.00,0.00,0.00,-3264,-12556,13704,-797,-786,-319,1059
OMEGA,30.07,99121.39,185.10,0.00,0.00,0.00,-5176,-12400,11500,-1883,-2063,2151,1060
OMEGA,30.07,99120.28,185.20,0.00,0.00,0.00,-3096,-12572,11496,-704,1371,670,1061
OMEGA,30.07,99119.56,185.26,0.00,0.00,0.00,-4740,-12344,12316,-2693,718,178,1062
OMEGA,30.07,99117.05,185.47,0.00,0.00,0.00,-3424,-12216,11752,-543,-1219,-35,1063
OMEGA,30.09,99118.58,185.34,0.00,0.00,0.00,-2892,-12256,12396,-1414,-419,191,1064
OMEGA,30.09,99121.69,185.08,0.00,0.00,0.00,-3008,-11644,11708,1027,2678,-1139,1065
OMEGA,30.09,99119.98,185.22,0.00,0.00,0.00,-3624,-11528,10920,-1472,-3753,1454,1066
OMEGA,30.10,99121.44,185.10,0.00,0.00,0.00,-3272,-12472,11840,292,756,-599,1067
OMEGA,30.11,99121.20,185.15,0.00,0.00,0.00,-4572,-12204,10996,-364,1469,-668,1068
OMEGA,30.11,99118.87,185.32,0.00,0.00,0.00,-3760,-12024,11200,-1358,-2651,975,1069
OMEGA,30.12,99120.65,185.17,0.00,0.00,0.00,-2860,-11508,11628,1295,503,444,1070
OMEGA,30.12,99121.75,185.07,0.00,0.00,0.00,-3524,-11316,10648,276,-205,1477,1071
OMEGA,30.12,99121.41,185.10,0.00,0.00,0.00,-2172,-13796,11440,-804,-3279,3607,1072
OMEGA,30.13,99119.97,185.22,0.00,0.00,0.00,-1964,-12628,10012,5316,-3037,-4709,1073
OMEGA,30.14,99122.13,185.04,0.00,0.00,0.00,332,-13404,11252,7315,-15571,-2257,1074
OMEGA,30.13,99118.73,185.33,0.00,0.00,0.00,-560,-13168,14592,-1272,299,-433,1075
OMEGA,30.13,99121.80,185.07,0.00,0.00,0.00,748,-11852,14756,146,-2197,685,1076
OMEGA,30.14,99121.45,185.10,0.00,0.00,0.00,1324,-11548,13216,-300,-149,912,1077
OMEGA,30.15,99122.21,185.03,0.00,0.00,0.00,4084,-12840,18396,5883,5722,-2535,1078
OMEGA,30.16,99121.66,185.08,0.00,0.00,0.00,-2228,108,15276,-2417,3024,602,1079
OMEGA,30.15,99121.91,185.06,0.00,0.00,0.00,1020,-944,17760,12990,-10879,9720,1080
OMEGA,30.15,99120.08,185.22,0.00,0.00,0.00,-2944,1400,17844,-4464,-647,-17350,1081
OMEGA,30.17,99117.21,185.46,0.00,0.00,0.00,10336,7420,8228,2198,2283,-498,1082
OMEGA,30.17,99119.61,185.26,0.00,0.00,0.00,-6804,7108,17788,5730,-8700,12514,1083
OMEGA,30.18,99116.10,185.55,0.00,0.00,0.00,8184,5760,13704,50,2260,-11393,1084
OMEGA,30.17,99119.98,185.22,0.00,0.00,0.00,12,4600,15492,-3288,-8628,19381,1085
OMEGA,30.18,99117.67,185.42,0.00,0.00,0.00,5080,4956,11060,1139,9532,-16207,1086
OMEGA,30.18,99118.23,185.37,0.00,0.00,0.00,14084,-2372,15516,-2520,-6227,3852,1087
OMEGA,30.19,99118.75,185.33,0.00,0.00,0.00,-8800,8816,20904,-3572,-2765,-3560,1088
OMEGA,30.18,99118.92,185.31,0.00,0.00,0.00,2216,-1768,11700,-3249,8555,-7909,1089
OMEGA,30.18,99119.77,185.24,0.00,0.00,0.00,-1108,-7100,15016,2610,1387,-2492,1090
OMEGA,30.19,99119.64,185.25,0.00,0.00,0.00,-4408,-6976,14884,-4180,-2325,589,1091
OMEGA,30.20,99118.73,185.33,0.00,0.00,0.00,-2728,-12452,16352,-919,3950,-4038,1092
