Identificador, Temperatura, Presión, Altitud, Longitud(GPS), Latitud(GPS), Altitud(GPS), Acelerómetro X, acelerómetro Y, Acelerómetro Z, gyroscopio X, gyroscopio Y, gyroscopio Z, número de paquete
OMEGA,30.81,99124.96,184.80,0.00,0.00,0.00,-780,-16528,3896,-818,221,499,1227
OMEGA,30.81,99120.86,185.15,0.00,0.00,0.00,-120,-16792,3256,-124,-767,-377,1228
OMEGA,30.81,99121.94,185.06,0.00,0.00,0.00,-828,-16760,3700,1395,-358,401,1229
OMEGA,30.83,99124.31,184.86,0.00,0.00,0.00,516,-16884,3660,154,-1157,-852,1230
OMEGA,30.82,99123.42,184.93,0.00,0.00,0.00,980,-18240,2932,-1410,4731,497,1231
OMEGA,30.83,99124.94,184.80,0.00,0.00,0.00,652,-16972,4996,-1918,-6079,1889,1232
OMEGA,30.84,99123.27,184.94,0.00,0.00,0.00,-2476,-15576,4456,1541,10905,-1436,1233
OMEGA,30.84,99124.30,184.86,0.00,0.00,0.00,1296,-18248,4660,-1071,-6586,-332,1234
OMEGA,30.84,99119.39,185.27,0.00,0.00,0.00,-6920,-15844,15244,22574,3460,15186,1235
OMEGA,30.84,99113.72,185.75,0.00,0.00,0.00,4372,1872,16300,-2392,2111,2194,1236
OMEGA,30.84,99116.48,185.52,0.00,0.00,0.00,-864,-1764,17208,-7740,1736,-3675,1237
OMEGA,30.84,99119.60,185.26,0.00,0.00,0.00,-940,-7464,14780,-4133,-7929,-8299,1238
OMEGA,30.84,99117.89,185.40,0.00,0.00,0.00,2020,-10084,16176,-4979,-6393,1617,1239
OMEGA,30.84,99118.88,185.32,0.00,0.00,0.00,-3280,-7220,16408,3703,2817,-2189,1240
OMEGA,30.86,99124.71,184.82,0.00,0.00,0.00,-3568,-6380,19516,707,-2510,51,1241
OMEGA,30.86,99118.05,185.39,0.00,0.00,0.00,-3252,6268,11720,16281,-829,4162,1242
OMEGA,30.86,99117.37,185.45,0.00,0.00,0.00,-4484,7396,18132,-2339,12105,8236,1243
OMEGA,30.85,99118.48,185.35,0.00,0.00,0.00,-96,3340,17544,-2742,3846,1667,1244
OMEGA,30.84,99114.10,185.72,0.00,0.00,0.00,-1720,5056,16264,3370,-7052,3328,1245
OMEGA,30.85,99115.38,185.61,0.00,0.00,0.00,-668,4100,16716,-1297,-2110,-4449,1246
OMEGA,30.85,99115.28,185.62,0.00,0.00,0.00,-120,2524,18152,686,-2789,1700,1247
OMEGA,30.86,99115.66,185.59,0.00,0.00,0.00,-900,3012,17824,517,-225,94,1248
OMEGA,30.86,99117.23,185.46,0.00,0.00,0.00,20,2596,17340,-1598,256,-1607,1249
OMEGA,30.87,99117.67,185.42,0.00,0.00,0.00,-844,3864,16708,900,-355,5547,1250
OMEGA,30.87,99118.31,185.37,0.00,0.00,0.00,100,3332,17484,-110,-1020,-983,1251
OMEGA,30.86,99118.62,185.34,0.00,0.00,0.00,-96,4372,17592,-208,1354,-171,1252
OMEGA,30.87,99119.72,185.24,0.00,0.00,0.00,444,4820,16868,74,12,-117,1253
OMEGA,30.87,99119.31,185.28,0.00,0.00,0.00,96,2716,16832,-1945,-32,-613,1254
OMEGA,30.86,99119.08,185.30,0.00,0.00,0.00,-776,3160,18300,-841,950,2000,1255
OMEGA,30.86,99116.34,185.53,0.00,0.00,0.00,-3016,2920,19104,-3441,3261,7604,1256
OMEGA,30.86,99116.17,185.55,0.00,0.00,0.00,-4016,3848,18348,551,-2307,-4755,1257
OMEGA,30.86,99116.52,185.52,0.00,0.00,0.00,-8972,2076,14616,-12603,4080,521,1258
OMEGA,30.86,99117.61,185.42,0.00,0.00,0.00,-3796,-6080,17296,-2467,-8214,-5511,1259
OMEGA,30.88,99122.22,185.03,0.00,0.00,0.00,780,-13452,10584,-6391,8262,-4042,1260
OMEGA,30.87,99121.84,185.06,0.00,0.00,0.00,3164,-13844,9520,3387,-9722,4320,1261
OMEGA,30.87,99121.63,185.08,0.00,0.00,0.00,1196,-12884,8796,2211,969,3008,1262
OMEGA,30.88,99121.70,185.08,0.00,0.00,0.00,3804,-17288,10648,-2421,-3442,2628,1263
OMEGA,30.88,99120.73,185.16,0.00,0.00,0.00,2660,-14112,9360,-2912,-2058,18,1264
OMEGA,30.89,99121.33,185.11,0.00,0.00,0.00,-900,-14912,11244,-1825,-3484,3093,1265
OMEGA,30.89,99122.86,184.98,0.00,0.00,0.00,1164,-15204,9656,2321,1528,-733,1266
OMEGA,30.89,99123.75,184.90,0.00,0.00,0.00,308,-15220,9744,-343,1964,-1890,1267
OMEGA,30.90,99123.73,184.90,0.00,0.00,0.00,3016,-14164,11008,-1305,-1850,-1002,1268
OMEGA,30.91,99122.92,184.98,0.00,0.00,0.00,1020,-14924,8340,-1426,1208,-3133,1269
OMEGA,30.91,99124.16,184.87,0.00,0.00,0.00,4156,-13468,9508,-735,-160,67,1270
OMEGA,30.91,99122.97,184.97,0.00,0.00,0.00,1564,-14880,9276,201,1733,-1610,1271
OMEGA,30.91,99123.52,184.92,0.00,0.00,0.00,1660,-13176,8504,716,5984,-2569,1272
OMEGA,30.92,99123.39,184.94,0.00,0.00,0.00,1820,-14204,9756,-1094,3217,-1315,1273
OMEGA,30.92,99126.00,184.71,0.00,0.00,0.00,2020,-15820,11396,-144,3667,-3035,1274
OMEGA,30.93,99123.13,184.96,0.00,0.00,0.00,-7724,-5216,3888,-8799,8119,12560,1275
OMEGA,30.93,99123.59,184.92,0.00,0.00,0.00,-7340,516,-2004,12858,7063,10844,1276
OMEGA,30.94,99122.06,185.05,0.00,0.00,0.00,-10496,-4332,9816,3858,-14991,-7141,1277
OMEGA,30.94,99123.12,184.96,0.00,0.00,0.00,1692,-14124,12428,-4577,-15573,-2207,1278
OMEGA,30.95,99125.42,184.76,0.00,0.00,0.00,3228,-13884,11256,-1928,1471,1322,1279
OMEGA,30.95,99126.31,184.69,0.00,0.00,0.00,840,-15124,8788,-2150,1577,-1938,1280
OMEGA,30.95,99122.91,184.98,0.00,0.00,0.00,1972,-13500,8256,5143,-8510,-5738,1281
OMEGA,30.96,99123.19,184.95,0.00,0.00,0.00,2516,-16200,7568,1563,-1408,1706,1282
OMEGA,30.96,99124.04,184.88,0.00,0.00,0.00,3212,-15164,8388,20,405,239,1283
OMEGA,30.97,99122.33,185.03,0.00,0.00,0.00,3396,-15144,7768,1420,2491,-510,1284
OMEGA,30.97,99122.28,185.03,0.00,0.00,0.00,3560,-14768,8308,1839,-2854,1869,1285
OMEGA,30.98,99122.88,184.98,0.00,0.00,0.00,-196,-13380,14208,4775,7190,-1015,1286
OMEGA,30.99,99117.53,185.43,0.00,0.00,0.00,-3224,3684,6940,4966,3373,32767,1287
OMEGA,30.99,99116.41,185.52,0.00,0.00,0.00,7100,9336,10912,10182,4266,4477,1288
OMEGA,30.98,99115.45,185.61,0.00,0.00,0.00,8448,15288,9792,-4696,11036,6254,1289
OMEGA,30.98,99115.70,185.59,0.00,0.00,0.00,-1884,12744,13368,-8976,-13238,-26080,1290
OMEGA,30.98,99116.95,185.48,0.00,0.00,0.00,-9600,6672,12592,7780,477,-16300,1291
OMEGA,30.98,99114.59,185.68,0.00,0.00,0.00,-13876,8372,2904,250,837,211,1292
OMEGA,30.99,99115.02,185.32,0.00,0.00,0.00,-12508,-2024,8796,-2358,-3484,5442,1293
OMEGA,30.99,99115.73,185.58,0.00,0.00,0.00,-11192,-4264,12760,40,-1436,2715,1294
OMEGA,31.00,99120.39,185.19,0.00,0.00,0.00,-10732,-2500,13028,-1463,814,4247,1295
OMEGA,31.01,99119.48,185.27,0.00,0.00,0.00,-7276,16,12460,1880,1914,-6518,1296
OMEGA,31.02,99121.89,185.06,0.00,0.00,0.00,-2428,-4940,14832,8377,614,-1839,1297
OMEGA,31.02,99119.50,185.26,0.00,0.00,0.00,-5500,-5564,18408,2983,-2687,4256,1298
OMEGA,31.02,99118.32,185.36,0.00,0.00,0.00,-9332,-8488,18648,-6069,2039,7017,1299
OMEGA,31.02,99118.31,185.37,0.00,0.00,0.00,-9360,-6108,17020,-5071,1552,2881,1300
OMEGA,31.03,99119.73,185.24,0.00,0.00,0.00,-9544,-5956,14988,-5337,8874,8511,1301
OMEGA,31.04,99121.75,185.07,0.00,0.00,0.00,-5820,-3516,16692,-835,4726,3954,1302
OMEGA,31.04,99119.23,185.33,0.00,0.00,0.00,112,-1332,18656,58,-7391,385,1303
OMEGA,31.05,99120.05,185.22,0.00,0.00,0.00,1756,64,14980,-2975,7043,2684,1304
OMEGA,31.05,99119.19,185.29,0.00,0.00,0.00,-13308,3212,12676,-5026,-323,3757,1305
OMEGA,31.06,99116.81,185.49,0.00,0.00,0.00,-3696,-3008,14984,3097,-8025,-7186,1306
OMEGA,31.06,99122.00,185.05,0.00,0.00,0.00,436,-1928,13900,-2937,-3049,636,1307
OMEGA,31.07,99118.36,185.36,0.00,0.00,0.00,-1492,-4216,18028,2928,186,-1367,1308
OMEGA,31.07,99115.42,185.61,0.00,0.00,0.00,4112,884,16208,1470,-503,2785,1309
OMEGA,31.07,99114.60,185.68,0.00,0.00,0.00,3756,2628,16744,4945,360,6278,1310
OMEGA,31.08,99117.30,185.45,0.00,0.00,0.00,6552,4960,15096,-2540,-933,-3585,1311
OMEGA,31.09,99116.83,185.49,0.00,0.00,0.00,7404,5672,15616,-1029,44,683,1312
OMEGA,31.08,99112.03,185.90,0.00,0.00,0.00,8196,6500,14876,6794,2024,3592,1313
OMEGA,31.09,99117.68,185.42,0.00,0.00,0.00,8364,5852,14208,-929,-438,1041,1314
OMEGA,31.09,99117.88,185.40,0.00,0.00,0.00,10032,5996,14400,-1264,853,655,1315
OMEGA,31.09,99116.31,185.53,0.00,0.00,0.00,10284,7348,13984,-1568,1367,-5902,1316
OMEGA,31.08,99115.03,185.64,0.00,0.00,0.00,8148,6244,14144,-1361,4594,1889,1317
OMEGA,31.08,99118.28,185.37,0.00,0.00,0.00,-4040,5444,15384,-10760,-1160,-4162,1318
OMEGA,31.09,99118.44,185.35,0.00,0.00,0.00,-12232,3244,10084,-2539,-8327,-22122,1319
OMEGA,31.10,99118.85,185.32,0.00,0.00,0.00,-9140,-1224,12204,-724,-17669,-9945,1320
OMEGA,31.10,99124.01,184.88,0.00,0.00,0.00,824,-9280,12372,-303,476,1566,1321
OMEGA,31.10,99122.69,184.99,0.00,0.00,0.00,5356,-14936,14956,-9530,18358,-563,1322
OMEGA,31.11,99125.98,184.71,0.00,0.00,0.00,3640,-16896,8220,1462,-5755,3399,1323
OMEGA,31.11,99126.88,184.64,0.00,0.00,0.00,4160,-13712,6172,-748,2875,2215,1324
OMEGA,31.12,99125.72,184.91,0.00,0.00,0.00,2552,-14888,7068,-2930,2240,-3411,1325
OMEGA,31.11,99125.84,184.73,0.00,0.00,0.00,3036,-14484,6884,538,1463,-16,1326
OMEGA,31.12,99121.11,185.13,0.00,0.00,0.00,2600,-17000,4644,432,6321,392,1327
OMEGA,31.12,99124.09,184.87,0.00,0.00,0.00,1436,-17040,4928,-2,8513,-104,1328
OMEGA,31.12,99124.98,184.80,0.00,0.00,0.00,1724,-15076,5236,-75,10765,-1498,1329
OMEGA,31.13,99123.14,184.96,0.00,0.00,0.00,3104,-15268,6524,-479,1660,355,1330
OMEGA,31.13,99121.64,185.08,0.00,0.00,0.00,4316,-14468,6940,-1007,1079,-1085,1331
OMEGA,31.15,99125.94,184.72,0.00,0.00,0.00,2632,-17344,6468,-943,5438,-1629,1332
OMEGA,31.14,99121.12,185.13,0.00,0.00,0.00,2692,-14744,6344,-1116,-1227,-914,1333
OMEGA,31.15,99126.66,184.66,0.00,0.00,0.00,6536,-17560,10656,7991,3405,794,1334
OMEGA,31.16,99114.45,185.69,0.00,0.00,0.00,-1688,2328,7956,11725,-4358,32767,1335
OMEGA,31.15,99114.92,185.65,0.00,0.00,0.00,14492,2928,11368,-3672,-4466,2595,1336
OMEGA,31.15,99115.60,185.59,0.00,0.00,0.00,9904,5824,12592,3059,943,1547,1337
OMEGA,31.15,99117.14,185.46,0.00,0.00,0.00,12296,3580,12964,4677,2078,-6320,1338
OMEGA,31.16,99112.41,185.87,0.00,0.00,0.00,10268,5500,13024,60,2177,199,1339
OMEGA,31.17,99114.88,185.66,0.00,0.00,0.00,6996,5988,11144,1681,2903,2875,1340
OMEGA,31.16,99114.84,185.66,0.00,0.00,0.00,15692,764,9076,15006,11752,-21784,1341
OMEGA,31.16,99115.98,185.54,0.00,0.00,0.00,-5004,4804,11672,947,6319,5638,1342
OMEGA,31.16,99114.29,185.71,0.00,0.00,0.00,-5940,2520,17492,-4385,-4395,1192,1343
OMEGA,31.17,99116.31,185.53,0.00,0.00,0.00,-2840,6792,15664,1884,1763,1082,1344
OMEGA,31.18,99111.75,185.92,0.00,0.00,0.00,-2568,2832,18128,1477,62,-746,1345
OMEGA,31.19,99113.95,185.73,0.00,0.00,0.00,-716,2752,17744,-1472,-1472,-347,1346
OMEGA,31.17,99117.52,185.43,0.00,0.00,0.00,-3368,1784,17064,1611,3389,7595,1347
OMEGA,31.18,99116.88,185.48,0.00,0.00,0.00,-1272,944,18120,-431,-396,2762,1348
OMEGA,31.18,99115.17,185.63,0.00,0.00,0.00,-628,1632,17780,896,303,-5970,1349
OMEGA,31.18,99116.57,185.51,0.00,0.00,0.00,-3124,1008,17628,-763,-403,806,1350
OMEGA,31.18,99115.58,185.60,0.00,0.00,0.00,-1104,1080,18080,-1612,16,2518,1351
OMEGA,31.19,99118.23,185.37,0.00,0.00,0.00,-976,876,18104,1316,436,-656,1352
OMEGA,31.19,99118.44,185.35,0.00,0.00,0.00,-292,652,17748,708,1929,-2942,1353
OMEGA,31.18,99118.83,185.32,0.00,0.00,0.00,-1264,884,17232,-268,282,3037,1354
OMEGA,31.18,99116.57,185.51,0.00,0.00,0.00,-2096,-872,17968,1074,-1618,2337,1355
OMEGA,31.18,99117.08,185.47,0.00,0.00,0.00,-904,-316,25884,3639,3400,-13717,1356
OMEGA,31.18,99113.49,185.77,0.00,0.00,0.00,-3260,10136,10372,7548,-21650,-15412,1357
OMEGA,31.17,99108.13,186.23,0.00,0.00,0.00,-1548,-60,10724,3118,14795,17455,1358
OMEGA,31.18,99119.77,185.24,0.00,0.00,0.00,-3892,-15092,27636,-32768,-3499,15866,1359
OMEGA,31.18,99116.61,185.51,0.00,0.00,0.00,-9200,-5296,11056,-1385,-149,-10148,1360
OMEGA,31.18,99119.81,185.24,0.00,0.00,0.00,-7912,-8556,14064,2558,-201,19,1361
OMEGA,31.18,99118.52,185.35,0.00,0.00,0.00,-4524,-11772,16152,-1121,-843,1437,1362
OMEGA,31.19,99119.92,185.23,0.00,0.00,0.00,-6912,-18628,8148,-9090,29885,-10799,1363
OMEGA,31.19,99122.14,185.04,0.00,0.00,0.00,-8008,-22252,6828,8516,-11980,23523,1364
OMEGA,31.19,99121.34,185.11,0.00,0.00,0.00,-14100,-9532,11360,-2606,-3507,-9272,1365
OMEGA,31.20,99120.87,185.15,0.00,0.00,0.00,-6016,-15328,8392,-9265,-15934,1637,1366
OMEGA,31.19,99121.78,185.07,0.00,0.00,0.00,-4528,-13600,9348,1581,1334,372,1367
OMEGA,31.19,99120.66,185.17,0.00,0.00,0.00,-2612,-12164,16120,1909,-3104,737,1368
OMEGA,31.20,99122.31,185.03,0.00,0.00,0.00,4092,-13940,9824,4332,-1429,-3498,1369
OMEGA,31.20,99119.23,185.29,0.00,0.00,0.00,-3260,-9584,13104,4864,-2142,6384,1370
OMEGA,31.21,99119.52,185.26,0.00,0.00,0.00,-8072,-1676,13996,7181,7084,336,1371
OMEGA,31.20,99114.63,185.68,0.00,0.00,0.00,-15500,-28,5180,-1427,8752,-4778,1372
OMEGA,31.20,99115.14,185.63,0.00,0.00,0.00,-11284,-5360,15400,-1639,65,22008,1373
OMEGA,31.19,99119.47,185.27,0.00,0.00,0.00,-11308,4904,11892,-1011,-3316,2508,1374
OMEGA,31.20,99118.72,185.33,0.00,0.00,0.00,-9520,4364,14048,-264,-1847,-5681,1375
OMEGA,31.20,99119.06,185.30,0.00,0.00,0.00,-8132,1408,14584,2278,1366,-1371,1376
OMEGA,31.21,99119.48,185.27,0.00,0.00,0.00,-7696,2232,15380,-212,-589,2087,1377
OMEGA,31.22,99118.72,185.33,0.00,0.00,0.00,-9188,1992,14712,-1819,-75,-1480,1378
OMEGA,31.22,99119.65,185.25,0.00,0.00,0.00,-5768,2520,16824,1254,-2794,-8795,1379
OMEGA,31.22,99118.59,185.34,0.00,0.00,0.00,1136,-1944,19100,-1056,-2714,10924,1380
OMEGA,31.22,99120.09,185.21,0.00,0.00,0.00,8468,-3348,16760,-1441,-1886,2376,1381
OMEGA,31.23,99120.71,185.16,0.00,0.00,0.00,4528,-3992,17112,-2058,3388,1675,1382
OMEGA,31.23,99119.25,185.28,0.00,0.00,0.00,-4996,-3672,16888,116,4872,-12498,1383
OMEGA,31.23,99122.50,185.01,0.00,0.00,0.00,-10824,-3572,12600,-4255,-1414,5942,1384
OMEGA,31.23,99118.58,185.34,0.00,0.00,0.00,-5512,-1420,16268,1421,-2412,-2575,1385
OMEGA,31.23,99119.59,185.26,0.00,0.00,0.00,-4016,-308,17552,196,-1244,244,1386
OMEGA,31.23,99120.61,185.17,0.00,0.00,0.00,-2192,380,17976,-1437,-426,1941,1387
OMEGA,31.23,99116.95,185.48,0.00,0.00,0.00,-2768,316,17708,-33,880,510,1388
OMEGA,31.22,99119.27,185.28,0.00,0.00,0.00,-2316,392,17592,-266,1177,221,1389
OMEGA,31.21,99118.67,185.33,0.00,0.00,0.00,-2552,-940,18116,-1826,-511,-8991,1390
OMEGA,31.19,99117.75,185.41,0.00,0.00,0.00,-1776,112,16732,1735,1091,8899,1391
OMEGA,31.20,99120.43,185.19,0.00,0.00,0.00,-1048,140,17600,-1270,1286,-3782,1392
OMEGA,31.20,99117.66,185.42,0.00,0.00,0.00,-792,-464,18256,-2709,435,-4315,1393
OMEGA,31.20,99116.51,185.52,0.00,0.00,0.00,-2196,-1196,19072,227,1492,-4789,1394
OMEGA,31.20,99117.15,185.46,0.00,0.00,0.00,-2192,-1380,18008,-3558,2266,132,1395
OMEGA,31.18,99115.72,185.59,0.00,0.00,0.00,-1096,-1804,17744,-906,-1068,-447,1396
OMEGA,31.18,99118.69,185.33,0.00,0.00,0.00,-764,-1468,18000,1488,1764,3666,1397
OMEGA,31.18,99118.01,185.39,0.00,0.00,0.00,-824,-848,18024,-231,948,-1006,1398
OMEGA,31.18,99115.68,185.59,0.00,0.00,0.00,-920,-820,17656,876,355,-1721,1399
OMEGA,31.17,99117.81,185.41,0.00,0.00,0.00,-696,-1388,17596,-761,218,2452,1400
OMEGA,31.16,99117.52,185.43,0.00,0.00,0.00,-1232,-1464,17244,-889,-247,679,1401
OMEGA,31.15,99118.16,185.38,0.00,0.00,0.00,-340,-2316,18088,-650,-166,-166,1402
OMEGA,31.14,99114.59,185.68,0.00,0.00,0.00,-664,-1420,18956,-2835,2180,3855,1403
OMEGA,31.14,99113.88,185.74,0.00,0.00,0.00,-368,-1304,18468,421,1482,-1558,1404
OMEGA,31.14,99115.79,185.58,0.00,0.00,0.00,96,-628,18184,2334,3218,3509,1405
OMEGA,31.14,99116.09,185.55,0.00,0.00,0.00,-2552,-1900,18392,-1319,1123,-1542,1406
OMEGA,31.12,99114.80,185.66,0.00,0.00,0.00,-3200,-3988,17028,-946,1135,6758,1407
OMEGA,31.11,99111.84,185.91,0.00,0.00,0.00,-968,-956,17680,2454,811,-3465,1408
OMEGA,31.12,99116.36,185.53,0.00,0.00,0.00,296,-1440,19440,-2363,4069,2350,1409
OMEGA,31.12,99117.19,185.46,0.00,0.00,0.00,-1964,-2728,16280,-2050,-34,648,1410
OMEGA,31.12,99117.30,185.45,0.00,0.00,0.00,-1048,-3596,17748,-4583,745,1144,1411
OMEGA,31.11,99119.83,185.24,0.00,0.00,0.00,-808,-5016,18048,-194,-61,1,1412
OMEGA,31.11,99115.09,185.64,0.00,0.00,0.00,-964,-4072,17408,-466,110,209,1413
OMEGA,31.10,99114.92,185.65,0.00,0.00,0.00,-948,-3372,17804,569,312,616,1414
OMEGA,31.10,99117.86,185.40,0.00,0.00,0.00,-116,-2284,17856,-1185,-150,-1208,1415
OMEGA,31.08,99117.67,185.42,0.00,0.00,0.00,748,-3100,17316,830,1074,-23,1416
OMEGA,31.07,99117.38,185.44,0.00,0.00,0.00,-1120,-3220,17712,-1000,1137,1514,1417
OMEGA,31.07,99115.30,185.62,0.00,0.00,0.00,-600,-1472,15464,478,-270,966,1418
OMEGA,31.08,99113.32,185.79,0.00,0.00,0.00,908,-4264,17320,-6486,-216,378,1419
OMEGA,31.06,99110.15,186.06,0.00,0.00,0.00,-108,-4628,16764,-1471,-1992,-5474,1420
OMEGA,31.06,99111.17,185.97,0.00,0.00,0.00,-2932,-4124,18520,1646,2874,-7473,1421
OMEGA,31.06,99115.48,185.60,0.00,0.00,0.00,-7496,-1792,18352,-11396,6014,12971,1422
OMEGA,31.05,99118.17,185.38,0.00,0.00,0.00,-9708,3840,13228,2168,1091,-5027,1423
OMEGA,31.05,99114.41,185.70,0.00,0.00,0.00,-10804,-172,12284,-745,2699,-2577,1424
OMEGA,31.05,99113.22,185.80,0.00,0.00,0.00,-6088,1600,13332,11552,872,-22268,1425
OMEGA,31.06,99115.14,185.63,0.00,0.00,0.00,-3316,-1620,14080,7780,-6037,-3495,1426
OMEGA,31.06,99115.34,185.62,0.00,0.00,0.00,-2068,-800,17336,-3843,-88,-1018,1427
OMEGA,31.05,99112.02,185.90,0.00,0.00,0.00,1392,-544,7816,-2555,-169,5984,1428
OMEGA,31.04,99119.41,185.27,0.00,0.00,0.00,4812,7636,30120,485,-10051,15998,1429
OMEGA,31.03,99119.63,185.25,0.00,0.00,0.00,4008,-40,14420,-421,7854,2809,1430
OMEGA,31.03,99111.61,185.93,0.00,0.00,0.00,-1788,-3964,16784,-11793,4029,14023,1431
OMEGA,31.04,99115.28,185.62,0.00,0.00,0.00,-4356,-5912,19948,2620,-13268,369,1432
OMEGA,31.04,99114.42,185.69,0.00,0.00,0.00,800,-564,16436,-2330,762,4753,1433
OMEGA,31.04,99111.39,185.95,0.00,0.00,0.00,-4788,-6948,13688,-9447,3848,2570,1434
OMEGA,31.05,99113.34,185.79,0.00,0.00,0.00,-7964,-13304,13668,-8684,-3127,-957,1435
OMEGA,31.05,99113.64,185.76,0.00,0.00,0.00,-9372,-11552,9900,2656,-1997,-4632,1436
OMEGA,31.06,99115.27,185.62,0.00,0.00,0.00,-10988,-8332,5116,-8994,-2569,-1965,1437
OMEGA,31.06,99113.39,185.78,0.00,0.00,0.00,-5780,-10276,21324,32446,-20100,-13707,1438
OMEGA,31.06,99115.86,185.57,0.00,0.00,0.00,12224,5560,29848,-1031,-3765,15420,1439
OMEGA,31.06,99114.19,185.71,0.00,0.00,0.00,-1128,-6000,23772,-9503,-148,2170,1440
OMEGA,31.08,99115.37,185.61,0.00,0.00,0.00,-5332,-6524,13444,-4153,29,-268,1441
OMEGA,31.08,99113.32,185.79,0.00,0.00,0.00,-7528,-5416,12924,-119,1413,7570,1442
OMEGA,31.08,99115.58,185.60,0.00,0.00,0.00,-10808,-2600,16020,-1512,704,15071,1443
OMEGA,31.08,99113.36,185.78,0.00,0.00,0.00,-2756,2112,18952,-3401,-3294,427,1444
OMEGA,31.08,99115.55,185.60,0.00,0.00,0.00,-1728,5532,19252,1607,1629,2656,1445
OMEGA,31.08,99111.02,185.98,0.00,0.00,0.00,388,4628,20072,-2756,-783,1690,1446
OMEGA,31.09,99111.27,185.96,0.00,0.00,0.00,2468,5744,18312,5036,1124,-3397,1447
OMEGA,31.09,99111.40,185.95,0.00,0.00,0.00,1352,5960,16968,2906,2315,-5023,1448
OMEGA,31.10,99111.38,185.95,0.00,0.00,0.00,-1380,4240,16104,-1472,157,-3471,1449
OMEGA,31.10,99110.91,185.99,0.00,0.00,0.00,-2228,3928,17436,-2642,-3791,3669,1450
OMEGA,31.11,99110.95,185.99,0.00,0.00,0.00,-4120,4488,15388,-6678,791,7195,1451
OMEGA,31.11,99108.39,186.21,0.00,0.00,0.00,-5648,2396,18332,-1631,1589,-2856,1452
OMEGA,31.10,99110.73,186.01,0.00,0.00,0.00,-9620,4032,14600,6542,11623,-273,1453
OMEGA,31.11,99107.23,186.30,0.00,0.00,0.00,-6096,-2264,15680,-4626,-6915,-3544,1454
OMEGA,31.12,99112.47,185.86,0.00,0.00,0.00,-3020,-1380,18460,1626,-2439,360,1455
OMEGA,31.13,99108.16,186.22,0.00,0.00,0.00,-5416,-1004,16404,2633,5481,-7903,1456
OMEGA,31.14,99108.92,186.16,0.00,0.00,0.00,-9188,464,13344,-1573,-1464,4198,1457
OMEGA,31.13,99114.48,185.69,0.00,0.00,0.00,-9120,-2020,15924,-2890,-3142,-4234,1458
OMEGA,31.14,99110.84,186.00,0.00,0.00,0.00,-14888,-3236,8948,617,4955,1770,1459
OMEGA,31.14,99109.61,186.10,0.00,0.00,0.00,-9612,-7704,10584,-5753,1760,4712,1460
OMEGA,31.14,99110.53,186.02,0.00,0.00,0.00,-11152,-6308,12716,-1668,2069,7932,1461
OMEGA,31.15,99112.08,185.89,0.00,0.00,0.00,-6372,-4724,16508,1032,-10282,-6051,1462
OMEGA,31.16,99115.81,185.58,0.00,0.00,0.00,-1292,-6284,16356,3198,9356,-11871,1463
OMEGA,31.16,99113.40,185.78,0.00,0.00,0.00,76,-3824,14476,1249,6489,-6149,1464
OMEGA,31.16,99121.50,185.09,0.00,0.00,0.00,3412,-18792,7528,-7936,-7254,-4661,1465
OMEGA,31.15,99121.75,185.07,0.00,0.00,0.00,3368,-16316,-2548,12629,-9866,2887,1466
OMEGA,31.15,99117.03,185.47,0.00,0.00,0.00,7192,-15664,1604,-15338,13538,-3409,1467
OMEGA,31.16,99120.42,185.19,0.00,0.00,0.00,7724,-15508,-772,4297,9540,2033,1468
OMEGA,31.17,99121.91,185.06,0.00,0.00,0.00,10836,-15672,3752,-8739,9370,-2567,1469
OMEGA,31.17,99117.18,185.46,0.00,0.00,0.00,1532,-8980,9272,215,19893,32767,1470
OMEGA,31.17,99117.34,185.45,0.00,0.00,0.00,-8736,-4004,20968,-3962,-15089,6050,1471
OMEGA,31.18,99116.91,185.48,0.00,0.00,0.00,-13792,-876,15764,6424,-10937,-2988,1472
OMEGA,31.16,99115.86,185.57,0.00,0.00,0.00,-320,-1804,17032,-2542,1427,-12153,1473
OMEGA,31.15,99116.80,185.49,0.00,0.00,0.00,-11180,2492,12676,-2474,6724,8278,1474
OMEGA,31.17,99117.47,185.43,0.00,0.00,0.00,-10844,928,14972,547,1902,-2869,1475
OMEGA,31.17,99116.62,185.51,0.00,0.00,0.00,-8188,-1964,14008,4034,1908,645,1476
OMEGA,31.18,99114.31,185.70,0.00,0.00,0.00,-18872,1624,3528,-5589,-10387,-7520,1477
OMEGA,31.18,99119.55,185.26,0.00,0.00,0.00,-17044,1396,9872,2795,393,1032,1478
OMEGA,31.19,99112.39,185.87,0.00,0.00,0.00,-10680,4760,10636,250,3049,3217,1479
OMEGA,31.20,99114.20,185.71,0.00,0.00,0.00,-13244,4676,2176,-11762,-5948,-9849,1480
OMEGA,31.20,99115.74,185.58,0.00,0.00,0.00,-10048,-5308,14516,-103,2710,2170,1481
OMEGA,31.21,99117.78,185.49,0.00,0.00,0.00,-5432,-6240,14796,2301,2791,-1463,1482
OMEGA,31.21,99118.84,185.32,0.00,0.00,0.00,-5504,-3472,16912,-1774,-11222,574,1483
OMEGA,31.22,99118.25,185.37,0.00,0.00,0.00,-4948,-3572,16428,-1664,2741,6263,1484
OMEGA,31.23,99117.81,185.41,0.00,0.00,0.00,-848,-2620,18488,3562,-3469,515,1485
